genesymbol,cell_type,organ,organism
KCNE3,Crypt cells,GI tract,human
KCNQ1,Crypt cells,GI tract,human
KCNQ1,Gastric chief cells,GI tract,human
KCNQ1,Taste receptor cells,,human
PROM1,Neural stem/precursor cells,Brain,human
PROM1,Luminal epithelial cells,Mammary gland,human
PROM1,Embryonic stem cells,Zygote,human
PROM1,Hematopoietic stem cells,Bone,human
PROM1,Crypt cells,GI tract,human
LGR5,Retinal progenitor cells,Eye,human
LGR5,Gastric chief cells,GI tract,human
LGR5,Crypt cells,GI tract,human
EPHB2,Crypt cells,GI tract,human
ASCL2,Crypt cells,GI tract,human
ASCL2,Neural stem/precursor cells,Brain,human
BMI1,Satellite cells,Skeletal muscle,human
BMI1,Melanocytes,Skin,human
BMI1,Hematopoietic stem cells,Bone,human
BMI1,Crypt cells,GI tract,human
LRIG1,Crypt cells,GI tract,human
TERT,Crypt cells,GI tract,human
TERT,Pluripotent stem cells,,human
MSI1,Crypt cells,GI tract,human
MSI1,Sertoli cells,Reproductive,human
MSI1,Retinal progenitor cells,Eye,human
TNFRSF19,Crypt cells,GI tract,human
AXIN2,Crypt cells,GI tract,human
AXIN2,Radial glia cells,Brain,human
XCL1,NK cells,Immune system,human
XCL2,NK cells,Immune system,human
CTSW,NK cells,Immune system,human
CTSW,Gamma delta T cells,Immune system,human
CTSW,T cells,Immune system,human
IL32,T cells,Immune system,human
TRDC,T cells,Immune system,human
TRDC,Gamma delta T cells,Immune system,human
KLRC1,NK cells,Immune system,human
CST7,NK cells,Immune system,human
CST7,Gamma delta T cells,Immune system,human
AREG,Luminal epithelial cells,Mammary gland,human
FFAR4,Delta cells,Pancreas,human
FFAR4,Enteroendocrine cells,GI tract,human
SST,Delta cells,Pancreas,human
SST,Interneurons,Brain,human
SST,Neuroendocrine cells,Brain,human
SST,Enteroendocrine cells,GI tract,human
SST,GABAergic neurons,Brain,human
PCSK9,Delta cells,Pancreas,human
PCSK9,Loop of Henle cells,Kidney,human
RBP4,Proximal tubule cells,Kidney,human
RBP4,Delta cells,Pancreas,human
GPC5-AS1,Delta cells,Pancreas,human
GPC5-AS1,Gamma (PP) cells,Pancreas,human
BAIAP3,Delta cells,Pancreas,human
MS4A8,Delta cells,Pancreas,human
BCHE,Delta cells,Pancreas,human
BCHE,Hepatocytes,Liver,human
GABRB3,Delta cells,Pancreas,human
UNC5B,Delta cells,Pancreas,human
EDN3,Delta cells,Pancreas,human
GHSR,Neurons,Brain,human
GHSR,Monocytes,Immune system,human
GHSR,Delta cells,Pancreas,human
FRZB,Fibroblasts,Connective tissue,human
FRZB,Epsilon cells,Pancreas,human
FRZB,Delta cells,Pancreas,human
FRZB,Tanycytes,Brain,human
GABRG2,Delta cells,Pancreas,human
POU3F1,Delta cells,Pancreas,human
POU3F1,Schwann cells,Brain,human
POU3F1,Oligodendrocytes,Brain,human
BHLHE41,Delta cells,Pancreas,human
EHF,Delta cells,Pancreas,human
EHF,Langerhans cells,Skin,human
EHF,Microfold cells,GI tract,human
LCORL,Delta cells,Pancreas,human
ETV1,Delta cells,Pancreas,human
ETV1,Gamma (PP) cells,Pancreas,human
ETV1,Interneurons,Brain,human
IL6,Megakaryocytes,Immune system,human
IL6,Satellite glial cells,Brain,human
IL6,Dendritic cells,Immune system,human
CD83,Dendritic cells,Immune system,human
CD83,Macrophages,Immune system,human
CD83,Plasmacytoid dendritic cells,Immune system,human
CD1A,Langerhans cells,Skin,human
CD1A,Thymocytes,Thymus,human
CD1A,Dendritic cells,Immune system,human
CD209,Dendritic cells,Immune system,human
LAMP3,Pulmonary alveolar type II cells,Lungs,human
LAMP3,Dendritic cells,Immune system,human
CD1B,Dendritic cells,Immune system,human
TREM2,Dendritic cells,Immune system,human
TREM2,Microglia,Brain,human
TREM2,Macrophages,Immune system,human
ARG1,Nuocytes,Immune system,human
ARG1,Dendritic cells,Immune system,human
ARG1,Hepatocytes,Liver,human
HLA-DMB,Dendritic cells,Immune system,human
HLA-DMA,Dendritic cells,Immune system,human
CLEC10A,Microglia,Brain,human
CLEC10A,Macrophages,Immune system,human
CLEC10A,Dendritic cells,Immune system,human
HLA-DRB1,Dendritic cells,Immune system,human
HLA-DPA1,Dendritic cells,Immune system,human
HLA-DPB1,Dendritic cells,Immune system,human
DNASE1L3,Dendritic cells,Immune system,human
DNASE1L3,Endothelial cells,Vasculature,human
DNASE1L3,Macrophages,Immune system,human
DNASE1L3,Kupffer cells,Liver,human
CLEC9A,Dendritic cells,Immune system,human
ETV6,Plasmacytoid dendritic cells,Immune system,human
ETV6,Dendritic cells,Immune system,human
CD163,Dendritic cells,Immune system,human
CD163,Macrophages,Immune system,human
CD163,Kupffer cells,Liver,human
CD163,Monocytes,Immune system,human
CXCL8,Satellite glial cells,Brain,human
CXCL8,Fibroblasts,Connective tissue,human
CXCL8,Dendritic cells,Immune system,human
VSIG4,Kupffer cells,Liver,human
VSIG4,Macrophages,Immune system,human
VSIG4,Dendritic cells,Immune system,human
NR4A3,Dendritic cells,Immune system,human
NR4A3,Macrophages,Immune system,human
TRAF1,Dendritic cells,Immune system,human
TRAF1,T cells,Immune system,human
RELB,Microfold cells,GI tract,human
RELB,Dendritic cells,Immune system,human
BATF3,Dendritic cells,Immune system,human
BATF3,T cells,Immune system,human
CCL22,Dendritic cells,Immune system,human
CCL22,Macrophages,Immune system,human
SLAMF7,Dendritic cells,Immune system,human
SLAMF7,Macrophages,Immune system,human
SLAMF7,NK cells,Immune system,human
SLAMF7,Natural killer T cells,Immune system,human
XCR1,Dendritic cells,Immune system,human
CXCL16,Microfold cells,GI tract,human
CXCL16,Macrophages,Immune system,human
CXCL16,Dendritic cells,Immune system,human
SCIMP,Macrophages,Immune system,human
SCIMP,Dendritic cells,Immune system,human
FGD2,Macrophages,Immune system,human
RAB7B,Macrophages,Immune system,human
RAB7B,Dendritic cells,Immune system,human
NAAA,Macrophages,Immune system,human
NAAA,Dendritic cells,Immune system,human
HCK,Monocytes,Immune system,human
HCK,Dendritic cells,Immune system,human
Q9EP95,Macrophages,Immune system,mouse
HFE,Platelets,Blood,human
HFE,Macrophages,Immune system,human
HFE,Kupffer cells,Liver,human
CCR2,Macrophages,Immune system,human
CCR2,Monocytes,Immune system,human
CCR2,Fibroblasts,Connective tissue,human
CCR2,Dendritic cells,Immune system,human
RYR1,Dendritic cells,Immune system,human
ITGAE,T regulatory cells,Immune system,human
ITGAE,Dendritic cells,Immune system,human
SEMA4A,Dendritic cells,Immune system,human
SLAMF8,Dendritic cells,Immune system,human
CXCR3,Plasmacytoid dendritic cells,Immune system,human
CXCR3,Eosinophils,Immune system,human
FLT3,Hematopoietic stem cells,Bone,human
FLT3,Dendritic cells,Immune system,human
TLR3,Dendritic cells,Immune system,human
Q6W9K4,Dendritic cells,Immune system,mouse
Q6W9K6,Dendritic cells,Immune system,mouse
Q6W9L1,Dendritic cells,Immune system,mouse
Q6W9J8,Dendritic cells,Immune system,mouse
Q6W9J9,Dendritic cells,Immune system,mouse
Q6W9J7,Dendritic cells,Immune system,mouse
Q6W9J6,Dendritic cells,Immune system,mouse
B2RWS1,Dendritic cells,Immune system,mouse
GPR132,Macrophages,Immune system,human
GPR132,Dendritic cells,Immune system,human
ADAM19,Dendritic cells,Immune system,human
JAML,Macrophages,Immune system,human
JAML,Neutrophils,Immune system,human
JAML,Dendritic cells,Immune system,mouse
AP1S3,Dendritic cells,Immune system,human
AP1S3,Intercalated cells,Kidney,human
ASS1,Dendritic cells,Immune system,human
ASS1,Proximal tubule cells,Kidney,human
ASS1,Hepatocytes,Liver,human
ADGRG5,Dendritic cells,Immune system,human
GPR68,Dendritic cells,Immune system,human
Q3UUV9,Dendritic cells,Immune system,mouse
Q31159,Dendritic cells,Immune system,mouse
A0A0R7EZ18,Dendritic cells,Immune system,mouse
Q3U060,Dendritic cells,Immune system,mouse
A0A068BGV1,Dendritic cells,Immune system,mouse
B2KG20,Dendritic cells,Immune system,mouse
KMO,Dendritic cells,Immune system,human
P2RY10,Dendritic cells,Immune system,human
RAB30,Dendritic cells,Immune system,human
SEPTIN6,Dendritic cells,Immune system,human
ZBTB46,Dendritic cells,Immune system,human
AIF1,Dendritic cells,Immune system,human
AIF1,Microglia,Brain,human
AIF1,Macrophages,Immune system,human
LST1,Dendritic cells,Immune system,human
CTSS,Microglia,Brain,human
CTSS,Dendritic cells,Immune system,human
Q91ZX1,Macrophages,Immune system,mouse
Q91ZX1,Dendritic cells,Immune system,mouse
Q8CJ91,Dendritic cells,Immune system,mouse
P01921,Macrophages,Immune system,mouse
P01921,Dendritic cells,Immune system,mouse
P06343,Macrophages,Immune system,mouse
P06343,Dendritic cells,Immune system,mouse
P06345,Macrophages,Immune system,mouse
P06345,Dendritic cells,Immune system,mouse
P06346,Macrophages,Immune system,mouse
P06346,Dendritic cells,Immune system,mouse
P14483,Macrophages,Immune system,mouse
P14483,Dendritic cells,Immune system,mouse
P06342,Macrophages,Immune system,mouse
P06342,Dendritic cells,Immune system,mouse
ADGRE1,Kupffer cells,Liver,human
ADGRE1,Monocytes,Immune system,human
ADGRE1,Red pulp macrophages,Immune system,human
ADGRE1,Dendritic cells,Immune system,human
ADGRE1,Macrophages,Immune system,human
CCL17,Dendritic cells,Immune system,human
CD207,Dendritic cells,Immune system,human
CD207,Langerhans cells,Skin,human
CD8A,Plasmacytoid dendritic cells,Immune system,human
CD8A,NK cells,Immune system,human
CD8A,Dendritic cells,Immune system,human
CD8A,Thymocytes,Thymus,human
CD8A,T cells,Immune system,human
CX3CR1,Osteoclasts,Bone,human
CX3CR1,Macrophages,Immune system,human
CX3CR1,Microglia,Brain,human
CX3CR1,Monocytes,Immune system,human
CX3CR1,Dendritic cells,Immune system,human
P04230,Macrophages,Immune system,mouse
P04230,Dendritic cells,Immune system,mouse
P04231,Macrophages,Immune system,mouse
P04231,Dendritic cells,Immune system,mouse
P18468,Macrophages,Immune system,mouse
P18468,Dendritic cells,Immune system,mouse
P18469,Macrophages,Immune system,mouse
P18469,Dendritic cells,Immune system,mouse
LY75,Dendritic cells,Immune system,human
PDCD1LG2,Dendritic cells,Immune system,human
SIRPA,Dendritic cells,Immune system,human
FCGR3A,Monocytes,Immune system,human
FCGR3A,Microglia,Brain,mouse
FCGR3A,Macrophages,Immune system,human
FCGR3A,Dendritic cells,Immune system,human
FCGR3A,Neutrophils,Immune system,human
FCGR3A,NK cells,Immune system,human
FTL,Dendritic cells,Immune system,human
FTL,Kupffer cells,Liver,human
SERPINA1,Luminal epithelial cells,Mammary gland,human
SERPINA1,Dendritic cells,Immune system,human
SERPINA1,Hepatocytes,Liver,human
AXL,Dendritic cells,Immune system,human
PPP1R14A,Dendritic cells,Immune system,human
SIGLEC6,Dendritic cells,Immune system,human
DAB2,Dendritic cells,Immune system,human
DAB2,Platelets,Blood,human
DAB2,Macrophages,Immune system,human
VCAN,Monocytes,Immune system,human
VCAN,Dendritic cells,Immune system,human
VCAN,Tanycytes,Brain,human
VCAN,Oligodendrocyte progenitor cells,Brain,human
ANXA1,Dendritic cells,Immune system,human
ANXA1,Luminal epithelial cells,Mammary gland,human
C1orf54,Dendritic cells,Immune system,human
CADM1,Dendritic cells,Immune system,human
CAMK2D,Dendritic cells,Immune system,human
LGALS3,Principal cells,Kidney,human
LGALS3,Macrophages,Immune system,human
LGALS3,Dendritic cells,Immune system,human
NAPSA,Pulmonary alveolar type II cells,Lungs,human
NAPSA,Proximal tubule cells,Kidney,human
NAPSA,Dendritic cells,Immune system,human
PLBD1,Dendritic cells,Immune system,human
RNASE6,Dendritic cells,Immune system,human
PLAC8,Endothelial cells,Vasculature,human
PLAC8,Dendritic cells,Immune system,human
Q80WF2,Dendritic cells,Immune system,mouse
Q3SXF0,Dendritic cells,Immune system,mouse
A0A1B0GS75,Dendritic cells,Immune system,mouse
MACROH2A1,Dendritic cells,Immune system,human
SLC11A1,Dendritic cells,Immune system,human
SLC11A1,Macrophages,Immune system,human
SLC11A1,Neurons,Brain,human
SLC11A1,Red pulp macrophages,Immune system,human
PDPN,Pulmonary alveolar type I cells,Lungs,human
PDPN,Endothelial cells,Vasculature,human
PDPN,Dendritic cells,Immune system,human
PDPN,Osteocytes,Bone,human
CD28,Dendritic cells,Immune system,human
CD28,Thymocytes,Thymus,human
PPL,Dendritic cells,Immune system,human
SLURP1,Dendritic cells,Immune system,human
HLA-A,Platelets,Blood,human
HLA-A,Dendritic cells,Immune system,human
HLA-B,Dendritic cells,Immune system,human
HLA-C,Dendritic cells,Immune system,human
HLA-DRB5,Dendritic cells,Immune system,human
SERPINB9,Sertoli cells,Reproductive,human
SERPINB9,NK cells,Immune system,human
SERPINB9,Dendritic cells,Immune system,human
CLDN8,Distal tubule cells,Kidney,human
SLC12A3,Distal tubule cells,Kidney,human
UMOD,Distal tubule cells,Kidney,human
UMOD,Loop of Henle cells,Kidney,human
CALB1,Osteoblasts,Bone,human
CALB1,Neurons,Brain,human
CALB1,Purkinje neurons,Brain,human
CALB1,Interneurons,Brain,human
CALB1,Pyramidal cells,Brain,human
PVALB,Interneurons,Brain,human
PVALB,GABAergic neurons,Brain,human
PVALB,Ependymal cells,Brain,human
PGAM2,Distal tubule cells,Kidney,human
WNK4,Distal tubule cells,Kidney,human
EMX1,Pyramidal cells,Brain,human
TRPM6,Enterocytes,GI tract,human
TFRC,Reticulocytes,Blood,human
TFRC,Erythroblasts,Blood,human
CLCNKB,Intercalated cells,Kidney,human
CLCNKB,Ionocytes,Lungs,human
KCNJ1,Distal tubule cells,Kidney,human
EGF,Intercalated cells,Kidney,human
TMEM213,Intercalated cells,Kidney,human
CDKN3,Proximal tubule cells,Kidney,mouse
KCNJ16,Distal tubule cells,Kidney,human
RHCG,Intercalated cells,Kidney,human
RHCG,Distal tubule cells,Kidney,human
SCNN1A,Pulmonary alveolar type I cells,Lungs,human
WNK1,Distal tubule cells,Kidney,human
SLC8A1,Distal tubule cells,Kidney,human
AQP2,Principal cells,Kidney,human
AQP2,Distal tubule cells,Kidney,human
AVPR2,Principal cells,Kidney,human
AVPR2,Distal tubule cells,Kidney,human
SLC6A3,Dopaminergic neurons,Brain,human
FOXA2,Hepatocytes,Liver,human
NR4A2,Pyramidal cells,Brain,human
NR4A2,Fibroblasts,Connective tissue,human
NR4A2,Mesangial cells,Kidney,human
LMX1B,Podocytes,Kidney,human
PRKCG,Interneurons,Brain,human
NEUROD6,Dopaminergic neurons,Brain,human
SMAD3,Embryonic stem cells,Zygote,human
SMAD3,Dopaminergic neurons,Brain,human
PITX3,Dopaminergic neurons,Brain,human
KRT20,Ductal cells,Pancreas,human
KRT20,Foveolar cells,GI tract,human
KRT20,Enterocytes,GI tract,human
KRT20,Merkel cells,Skin,human
ONECUT1,Osteoclasts,Bone,human
ONECUT1,Pancreatic progenitor cells,Pancreas,human
AMBP,Ductal cells,Pancreas,human
AMBP,Hepatocytes,Liver,human
ANXA4,Ductal cells,Pancreas,human
ANXA4,Müller cells,Eye,human
SERPING1,Ductal cells,Pancreas,human
SERPING1,Sertoli cells,Reproductive,human
TSPAN8,Endothelial cells,Vasculature,human
TSPAN8,Ductal cells,Pancreas,human
SLPI,Hepatocytes,Liver,human
SLPI,Luminal epithelial cells,Mammary gland,human
SLPI,Ductal cells,Pancreas,human
SERPINA5,Ductal cells,Pancreas,human
PDLIM3,Ductal cells,Pancreas,human
WFDC2,Luminal epithelial cells,Mammary gland,human
WFDC2,Ductal cells,Pancreas,human
WFDC2,Sertoli cells,Reproductive,human
SLC3A1,Ductal cells,Pancreas,human
ALDH1A3,Ductal cells,Pancreas,human
ALDH1A3,Leydig cells,Reproductive,human
ALDH1A3,Enteric glia cells,GI tract,human
VTCN1,Ductal cells,Pancreas,human
CCL2,Macrophages,Immune system,human
CCL2,Myoblasts,Skeletal muscle,human
CCL2,Keratinocytes,Skin,human
CCL2,Hepatic stellate cells,Liver,human
CCL2,Ductal cells,Pancreas,human
CCL2,Mast cells,Immune system,human
DCDC2,Ductal cells,Pancreas,human
CTSH,Ductal cells,Pancreas,human
CTSH,Microfold cells,GI tract,human
S100A10,Endothelial cells,Vasculature,human
S100A10,Ductal cells,Pancreas,human
FOXD3,Embryonic stem cells,Zygote,human
FOXD3,Enteric glia cells,GI tract,human
POU5F1,Embryonic stem cells,Zygote,human
POU5F1,Pluripotent stem cells,,human
POU5F1,Epiblast cells,Embryo,human
POU5F1,Germ cells,Reproductive,human
ITGA4,Reticulocytes,Blood,human
ITGA4,Hematopoietic stem cells,Bone,human
ITGA4,Erythroid-like and erythroid precursor cells,Blood,human
ITGA4,Epsilon cells,Pancreas,human
PODXL,Podocytes,Kidney,human
PODXL,Endothelial cells,Vasculature,human
ZIC1,Pericytes,Vasculature,human
TEX19,Embryonic stem cells,Zygote,human
TEX19,Pluripotent stem cells,,human
KCNIP3,Oligodendrocyte progenitor cells,Brain,human
NANOG,Pluripotent stem cells,,human
NANOG,Embryonic stem cells,Zygote,human
NANOG,Epiblast cells,Embryo,human
SALL4,Embryonic stem cells,Zygote,human
TDGF1,Embryonic stem cells,Zygote,human
TDGF1,Epiblast cells,Embryo,human
HOXB5,Hematopoietic stem cells,Bone,human
GJC1,Embryonic stem cells,Zygote,human
GJC1,Smooth muscle cells,Smooth muscle,human
TRIM6,Embryonic stem cells,Zygote,human
PUM2,Embryonic stem cells,Zygote,human
GJB4,Embryonic stem cells,Zygote,human
SOX15,Embryonic stem cells,Zygote,human
UTF1,Embryonic stem cells,Zygote,human
GJB1,Oligodendrocytes,Brain,human
GJB1,Enterochromaffin cells,GI tract,human
GJB1,Embryonic stem cells,Zygote,human
GJB1,Hematopoietic stem cells,Bone,human
LMNA,Embryonic stem cells,Zygote,human
FBXO15,Embryonic stem cells,Zygote,human
PML,Embryonic stem cells,Zygote,human
THY1,T cells,Immune system,human
THY1,Pancreatic stellate cells,Pancreas,human
THY1,Mesangial cells,Kidney,human
THY1,Embryonic stem cells,Zygote,human
THY1,Fibroblasts,Connective tissue,human
THY1,Hematopoietic stem cells,Bone,human
THY1,Osteoblasts,Bone,human
CD9,Megakaryocytes,Immune system,human
CD9,Endothelial cells,Vasculature,human
CD9,Platelets,Blood,human
CD9,Embryonic stem cells,Zygote,human
CD9,Plasma cells,Immune system,human
CD9,Luminal epithelial cells,Mammary gland,human
CD59,Embryonic stem cells,Zygote,human
CD59,Hematopoietic stem cells,Bone,human
PECAM1,Pericytes,Vasculature,human
PECAM1,Megakaryocytes,Immune system,human
PECAM1,Neutrophils,Immune system,human
PECAM1,Monocytes,Immune system,human
PECAM1,Platelets,Blood,human
PECAM1,Endothelial cells,Vasculature,human
PECAM1,Embryonic stem cells,Zygote,human
ITGA6,Hematopoietic stem cells,Bone,human
ITGA6,Embryonic stem cells,Zygote,human
ITGA6,Neuroblasts,Brain,human
FZD1,Principal cells,Kidney,human
SOX2,Embryonic stem cells,Zygote,human
SOX2,Neural stem/precursor cells,Brain,human
SOX2,Merkel cells,Skin,human
SOX2,Satellite glial cells,Brain,human
SOX2,Müller cells,Eye,human
SOX2,Pluripotent stem cells,,human
KLF4,Embryonic stem cells,Zygote,human
KLF4,Plasma cells,Immune system,human
KLF4,Fibroblasts,Connective tissue,human
ZFP42,Embryonic stem cells,Zygote,human
ZFX,Embryonic stem cells,Zygote,human
ZFX,Pluripotent stem cells,,human
TAF8,Embryonic stem cells,Zygote,human
HMGA2,Embryonic stem cells,Zygote,human
NACC1,Embryonic stem cells,Zygote,human
NR6A1,Embryonic stem cells,Zygote,human
NR6A1,Germ cells,Reproductive,human
STAT3,Fibroblasts,Connective tissue,human
STAT3,Embryonic stem cells,Zygote,human
STAT3,Mammary epithelial cells,Mammary gland,human
LEF1,T cells,Immune system,human
LEF1,Embryonic stem cells,Zygote,human
LEF1,Epiblast cells,Embryo,human
L1TD1,Embryonic stem cells,Zygote,human
KHDC3L,Embryonic stem cells,Zygote,human
GDF3,Embryonic stem cells,Zygote,human
DPPA5,Embryonic stem cells,Zygote,human
DPPA4,Embryonic stem cells,Zygote,human
DPPA2,Embryonic stem cells,Zygote,human
DPPA3,Embryonic stem cells,Zygote,human
SMAD5,Embryonic stem cells,Zygote,human
SMAD4,Embryonic stem cells,Zygote,human
SMAD4,Osteoclasts,Bone,human
SMAD2,Embryonic stem cells,Zygote,human
HES1,Embryonic stem cells,Zygote,human
HES1,Principal cells,Kidney,human
HES1,Müller cells,Eye,human
HES1,Retinal progenitor cells,Eye,human
ESRRB,Embryonic stem cells,Zygote,human
DNMT3B,Hematopoietic stem cells,Bone,human
DNMT3B,Embryonic stem cells,Zygote,human
TRIM28,Embryonic stem cells,Zygote,human
PIWIL1,Embryonic stem cells,Zygote,human
PIWIL2,Embryonic stem cells,Zygote,human
PIWIL4,Embryonic stem cells,Zygote,human
LIFR,Endothelial cells,Vasculature,human
LIFR,Embryonic stem cells,Zygote,human
IL6ST,Glomus cells,,human
IL6ST,Embryonic stem cells,Zygote,human
A7KBS4,Embryonic stem cells,Zygote,mouse
ICAM1,Pulmonary alveolar type I cells,Lungs,human
ICAM1,Endothelial cells,Vasculature,human
ITGB3,Megakaryocytes,Immune system,human
ITGB3,Endothelial cells,Vasculature,human
ITGB3,Osteoclasts,Bone,human
ITGB3,Platelets,Blood,human
SELE,Monocytes,Immune system,human
SELE,Endothelial cells,Vasculature,human
VCAM1,Endothelial cells,Vasculature,human
VCAM1,Radial glia cells,Brain,human
VCAM1,Osteoblasts,Bone,human
VCAM1,Satellite cells,Skeletal muscle,human
VCAM1,Red pulp macrophages,Immune system,human
MCAM,Granulosa cells,Reproductive,human
MCAM,Pericytes,Vasculature,human
MCAM,Oligodendrocytes,Brain,human
MCAM,Endothelial cells,Vasculature,human
PROCR,Hematopoietic stem cells,Bone,human
PROCR,Endothelial cells,Vasculature,human
TEK,Pericytes,Vasculature,human
TEK,Mesangial cells,Kidney,human
TEK,Endothelial cells,Vasculature,human
TEK,Hematopoietic stem cells,Bone,human
FLT4,Endothelial cells,Vasculature,human
APLN,Endothelial cells,Vasculature,human
VWF,Megakaryocytes,Immune system,human
VWF,Hematopoietic stem cells,Bone,human
VWF,Endothelial cells,Vasculature,human
VWF,Platelets,Blood,human
NOS3,Endothelial cells,Vasculature,human
THBD,Endothelial cells,Vasculature,human
PLVAP,Endothelial cells,Vasculature,human
ACKR1,Endothelial cells,Vasculature,human
SLCO1C1,Endothelial cells,Vasculature,human
TMEM100,Oligodendrocyte progenitor cells,Brain,human
TMEM100,Endothelial cells,Vasculature,human
